s	slabel	user_slabel	o	olabel	user_olabel
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0012173	middle suprarenal artery	middle suprarenal artery
UBERON:0001190	ovarian artery	ovarian artery	UBERON:0001516	abdominal aorta	abdominal aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001190	ovarian artery	ovarian artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001184	renal artery	renal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002056	inferior suprarenal artery	inferior suprarenal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0009885	interlobar artery	interlobar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001552	kidney arcuate artery	kidney arcuate artery
UBERON:0004723	interlobular artery	interlobular artery	UBERON:0001552	kidney arcuate artery	kidney arcuate artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0004723	interlobular artery	interlobular artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0004639	renal afferent arteriole	renal afferent arteriole
UBERON:0004212	glomerular capillary	glomerular capillary	UBERON:0004639	renal afferent arteriole	renal afferent arteriole
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0004212	glomerular capillary	glomerular capillary
UBERON:0004640	renal efferent arteriole	renal efferent arteriole	UBERON:0004212	glomerular capillary	glomerular capillary
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0004640	renal efferent arteriole	renal efferent arteriole
UBERON:0005272	peritubular capillary	peritubular capillary	UBERON:0004640	renal efferent arteriole	renal efferent arteriole
UBERON:0004726	vasa recta	vasa recta	UBERON:0004640	renal efferent arteriole	renal efferent arteriole
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0003468	ureteric segment of renal artery	ureteric segment of renal artery
